Título,Precio,Año,Kilometraje,Ubicación,Enlace,Score
Ford Escape 2.0 Se 4x2,44900000,2014,141890,El Poblado - Medellín,https://carro.mercadolibre.com.co/MCO-2849878480-ford-escape-20-se-4x2-_JM#polycard_client=search-nordic&position=22&search_layout=grid&type=item&tracking_id=81b3f645-e53c-4053-99d7-37fca7207faa,35.7
Volkswagen Crossfox 1.6l,51500000,2018,71500,El Poblado - Medellín,https://carro.mercadolibre.com.co/MCO-1580285271-volkswagen-crossfox-16l-_JM#polycard_client=search-nordic&position=11&search_layout=grid&type=item&tracking_id=be3070fd-7b24-4244-ac88-5d8c262fc847,58.8
Kia Sorento 2.4 Natura 4x4,43900000,2012,212000,San Diego - Medellín,https://carro.mercadolibre.com.co/MCO-1544910671-kia-sorento-24-natura-4x4-_JM#polycard_client=search-nordic&position=26&search_layout=grid&type=item&tracking_id=c5081505-b365-4707-a071-316a6bed355b,17.6
Nissan Pathfinder 3.5 R52 Exclusive,63900000,2015,110000,El Poblado - Medellín,https://carro.mercadolibre.com.co/MCO-2838688636-nissan-pathfinder-35-r52-exclusive-_JM#polycard_client=search-nordic&position=40&search_layout=grid&type=item&tracking_id=9acaad1b-3980-4688-b3df-d393a4b50dde,31.2
Ford Escape 2.0 Se 4x4,46700000,2014,130000,Guayabal - Medellín,https://carro.mercadolibre.com.co/MCO-2851970456-ford-escape-20-se-4x4-_JM#polycard_client=search-nordic&position=24&search_layout=grid&type=item&tracking_id=26ea5e31-1826-4a79-9a44-ca9b5f22afc6,36.1
Ford Ecosport 2.0 Titanium At,44900000,2015,105639,El Poblado - Medellín,https://carro.mercadolibre.com.co/MCO-2836563050-ford-ecosport-20-titanium-at-_JM#polycard_client=search-nordic&position=20&search_layout=grid&type=item&tracking_id=9acaad1b-3980-4688-b3df-d393a4b50dde,45.3
Chevrolet Captiva 2.4 Sport 169 Hp,29000000,2014,130000,Alto De Palmas - Envigado,https://carro.mercadolibre.com.co/MCO-1571589951-chevroletc-captiva-_JM#polycard_client=search-nordic&position=42&search_layout=grid&type=item&tracking_id=26ea5e31-1826-4a79-9a44-ca9b5f22afc6,48.8
Renault Koleos 2.0 Dynamique,44000000,2013,138000,Santa Rosa De Osos,https://carro.mercadolibre.com.co/MCO-2847850490-renault-koleos-20-dynamique-_JM#polycard_client=search-nordic&position=18&search_layout=grid&type=item&tracking_id=be3070fd-7b24-4244-ac88-5d8c262fc847,32.5
Peugeot 2008 1.6 Active,56500000,2019,25500,Belén La Palma - Medellín,https://carro.mercadolibre.com.co/MCO-1556414213-peugeot-2008-16-active-_JM#polycard_client=search-nordic&position=11&search_layout=grid&type=item&tracking_id=26ea5e31-1826-4a79-9a44-ca9b5f22afc6,66.2
Renault Koleos 2.5 Bose,42000000,2016,109000,El Poblado - Medellín,https://carro.mercadolibre.com.co/MCO-1571500425-renault-koleos-25-bose-_JM#polycard_client=search-nordic&position=41&search_layout=grid&type=item&tracking_id=81b3f645-e53c-4053-99d7-37fca7207faa,51.4
Nissan Kicks 1.6 Advance At,62500000,2018,103000,Alto De Palmas - Envigado,https://carro.mercadolibre.com.co/MCO-1575626405-nissan-kicks-16-advance-_JM#polycard_client=search-nordic&position=23&search_layout=grid&type=item&tracking_id=26ea5e31-1826-4a79-9a44-ca9b5f22afc6,46.5
Ford Escape 2.0 Se 4x2,43900000,2013,152000,Belén - Medellín,https://carro.mercadolibre.com.co/MCO-2847881012-ford-escape-20-se-4x2-_JM#polycard_client=search-nordic&position=12&search_layout=grid&type=item&tracking_id=c5081505-b365-4707-a071-316a6bed355b,30.6
Nissan Qashqai 2.0 Advance,59000000,2016,175300,Primavera - Envigado,https://carro.mercadolibre.com.co/MCO-2863932138-nissan-qashqai-20-advance-_JM#polycard_client=search-nordic&position=43&search_layout=grid&type=item&tracking_id=9acaad1b-3980-4688-b3df-d393a4b50dde,29.8
Chevrolet Tracker 1.8 Ls At,35900000,2015,129000,El Poblado - Medellín,https://carro.mercadolibre.com.co/MCO-1562326257-chevrolet-tracker-18-ls-at-_JM#polycard_client=search-nordic&position=6&search_layout=grid&type=item&tracking_id=9acaad1b-3980-4688-b3df-d393a4b50dde,48.4
Chevrolet Tracker 1.8 Ls At,42000000,2016,90000,Los Colores - Medellín,https://carro.mercadolibre.com.co/MCO-1579682609-chevrolet-tracker-18-ls-at-_JM#polycard_client=search-nordic&position=27&search_layout=grid&type=item&tracking_id=26ea5e31-1826-4a79-9a44-ca9b5f22afc6,54.1
Ford Escape 2.0 Se 4x4,54500000,2016,109402,El Poblado - Medellín,https://carro.mercadolibre.com.co/MCO-1579304881-ford-escape-20-se-4x4-_JM#polycard_client=search-nordic&position=21&search_layout=grid&type=item&tracking_id=c5081505-b365-4707-a071-316a6bed355b,42.4
Ford Edge 3.5 Limited Fl,63300000,2013,140000,Rionegro,https://carro.mercadolibre.com.co/MCO-2855751506-ford-edge-35-limited-fl-_JM#polycard_client=search-nordic&position=17&search_layout=grid&type=item&tracking_id=be3070fd-7b24-4244-ac88-5d8c262fc847,18.4
Hyundai Santa Fe 2.4 Gls At,62900000,2014,128000,El Poblado - Medellín,https://carro.mercadolibre.com.co/MCO-2858697666-hyundai-santa-fe-24-gls-at-_JM#polycard_client=search-nordic&position=42&search_layout=grid&type=item&tracking_id=c5081505-b365-4707-a071-316a6bed355b,24.9
Kia Sportage 2.0 Revolution Gasolina 166 Hp,64900000,2014,104600,El Poblado - Medellín,https://carro.mercadolibre.com.co/MCO-2841209344-kia-sportage-20-revolution-gasolina-166-hp-_JM#polycard_client=search-nordic&position=4&search_layout=grid&type=item&tracking_id=9acaad1b-3980-4688-b3df-d393a4b50dde,26.8
Chevrolet Tracker 1.8 Ls At,49800000,2018,98000,El Poblado - Medellín,https://carro.mercadolibre.com.co/MCO-2849877274-chevrolet-tracker-18-ls-at-_JM#polycard_client=search-nordic&position=4&search_layout=grid&type=item&tracking_id=26ea5e31-1826-4a79-9a44-ca9b5f22afc6,56.3
Nissan X-trail 2.5 Exclusive,56800000,2018,60542,Las Vegas - Envigado,https://carro.mercadolibre.com.co/MCO-1579222137-nissan-x-trail-25-exclusive-4x4-_JM#polycard_client=search-nordic&position=29&search_layout=grid&type=item&tracking_id=81b3f645-e53c-4053-99d7-37fca7207faa,56.6
Jeep Compass 2.4 Limited,38000000,2012,145000,Barrio Colombia - Medellín,https://carro.mercadolibre.com.co/MCO-2810574166-jeep-compass-24-limited-_JM#polycard_client=search-nordic&position=7&search_layout=grid&type=item&tracking_id=81b3f645-e53c-4053-99d7-37fca7207faa,31.3
Nissan Qashqai 2.0l 4wd,46900000,2012,133900,El Poblado - Medellín,https://carro.mercadolibre.com.co/MCO-2839978238-nissan-qashqai-20l-4wd-_JM#polycard_client=search-nordic&position=32&search_layout=grid&type=item&tracking_id=c5081505-b365-4707-a071-316a6bed355b,26.6
Nissan Kicks 1.6 Exclusive,65000000,2018,46000,Zuñiga - Envigado,https://carro.mercadolibre.com.co/MCO-2846816202-nissan-kicks-16-advance-2018-autom-1a-financio-venpermuto-_JM#polycard_client=search-nordic&position=18&search_layout=grid&type=item&tracking_id=81b3f645-e53c-4053-99d7-37fca7207faa,52.8
Chevrolet Tracker 1.8 Ls At,37900000,2016,78500,Aguacatala - Medellín,https://carro.mercadolibre.com.co/MCO-2853787216-chevrolet-tracker-18-ls-at-_JM#polycard_client=search-nordic&position=11&search_layout=grid&type=item&tracking_id=81b3f645-e53c-4053-99d7-37fca7207faa,58.6
Ford Escape 2.0 Se 4x2,41500000,2014,100000,El Poblado - Medellín,https://carro.mercadolibre.com.co/MCO-1560785975-ford-escape-20-se-4x2-_JM#polycard_client=search-nordic&position=25&search_layout=grid&type=item&tracking_id=81b3f645-e53c-4053-99d7-37fca7207faa,44.1
Honda Cr-v 2.4 Lx,53900000,2012,124000,El Poblado - Medellín,https://carro.mercadolibre.com.co/MCO-1576382871-honda-cr-v-24-lx-_JM#polycard_client=search-nordic&position=40&search_layout=grid&type=item&tracking_id=c5081505-b365-4707-a071-316a6bed355b,23.0
Ford Escape 2.0 Se 4x2,41900000,2013,117300,Loma Del Escobero - Envigado,https://carro.mercadolibre.com.co/MCO-2837713556-ford-escape-20-se-4x2-_JM#polycard_client=search-nordic&position=26&search_layout=grid&type=item&tracking_id=81b3f645-e53c-4053-99d7-37fca7207faa,36.9
Nissan Juke 1.6l,63000000,2014,62000,Ciudad Del Rio - Medellín,https://carro.mercadolibre.com.co/MCO-2856475030-nissan-juke-16l-_JM#polycard_client=search-nordic&position=9&search_layout=grid&type=item&tracking_id=be3070fd-7b24-4244-ac88-5d8c262fc847,34.2
Chevrolet Captiva 3.0 Sport 4x4,40000000,2012,139751,Itaguí,https://carro.mercadolibre.com.co/MCO-2852453650-chevrolet-captiva-30-sport-4x4-_JM#polycard_client=search-nordic&position=30&search_layout=grid&type=item&tracking_id=be3070fd-7b24-4244-ac88-5d8c262fc847,30.6
Brilliance V5 1.5 Deluxe,30000000,2014,123000,Jardín,https://carro.mercadolibre.com.co/MCO-2853904708-brilliance-v5-15ti-_JM#polycard_client=search-nordic&position=11&search_layout=grid&type=item&tracking_id=c5081505-b365-4707-a071-316a6bed355b,49.0
Renault Duster 2.0 Dynamique 4x2 At,55800000,2017,70000,Barrio Cristóbal - Medellín,https://carro.mercadolibre.com.co/MCO-1568609749-renault-duster-20-dynamique-4x2-at-_JM#polycard_client=search-nordic&position=38&search_layout=grid&type=item&tracking_id=be3070fd-7b24-4244-ac88-5d8c262fc847,51.5
Chevrolet Tracker 1.8 Lt,49000000,2018,95000,La Ceja,https://carro.mercadolibre.com.co/MCO-1574767015-chevrolet-tracker-18-lt-_JM#polycard_client=search-nordic&position=45&search_layout=grid&type=item&tracking_id=26ea5e31-1826-4a79-9a44-ca9b5f22afc6,57.3
Chevrolet Traverse 3.6l Lt,53900000,2014,91700,El Poblado - Medellín,https://carro.mercadolibre.com.co/MCO-1572560793-chevrolet-traverse-36l-lt-2014-_JM#polycard_client=search-nordic&position=43&search_layout=grid&type=item&tracking_id=c5081505-b365-4707-a071-316a6bed355b,36.5
Ford Escape 2.0 Se 4x2,43600000,2014,106331,San Jose - Sabaneta,https://carro.mercadolibre.com.co/MCO-2852608646-ford-escape-20-se-4x2-_JM#polycard_client=search-nordic&position=37&search_layout=grid&type=item&tracking_id=26ea5e31-1826-4a79-9a44-ca9b5f22afc6,41.7
Chevrolet Tracker 1.8 Lt At,40900000,2016,96800,Barrio Colombia - Medellín,https://carro.mercadolibre.com.co/MCO-1552841443-chevrolet-tracker-18-lt-at-_JM#polycard_client=search-nordic&position=36&search_layout=grid&type=item&tracking_id=c5081505-b365-4707-a071-316a6bed355b,53.9
Ford Escape 2.0 Titanium,58900000,2016,84000,El Poblado - Medellín,https://carro.mercadolibre.com.co/MCO-2860876122-ford-escape-20-titanium-_JM#polycard_client=search-nordic&position=15&search_layout=grid&type=item&tracking_id=9acaad1b-3980-4688-b3df-d393a4b50dde,42.9
Chevrolet Tracker 1.8 Ls,33900000,2013,104000,El Poblado - Medellín,https://carro.mercadolibre.com.co/MCO-2854011354-chevrolet-tracker-18-ls-_JM#polycard_client=search-nordic&position=1&search_layout=grid&type=item&tracking_id=26ea5e31-1826-4a79-9a44-ca9b5f22afc6,44.5
Nissan Pathfinder 3.5 R52 Advance,57000000,2014,114000,Barrio Antioquia - Medellín,https://carro.mercadolibre.com.co/MCO-1572512455-nissan-pathfinder-35-r52-advance-_JM#polycard_client=search-nordic&position=47&search_layout=grid&type=item&tracking_id=26ea5e31-1826-4a79-9a44-ca9b5f22afc6,31.1
Ford Escape 2.0 Se 4x4,53900000,2015,117000,Belén La Mota - Medellín,https://carro.mercadolibre.com.co/MCO-2861793434-ford-escape-20-se-4x4-_JM#polycard_client=search-nordic&position=27&search_layout=grid&type=item&tracking_id=be3070fd-7b24-4244-ac88-5d8c262fc847,37.3
Chevrolet Tracker 1.8 Premier Awd At,56900000,2019,75000,El Poblado - Medellín,https://carro.mercadolibre.com.co/MCO-2848509094-chevrolet-tracker-18-premier-awd-at-_JM#polycard_client=search-nordic&position=21&search_layout=grid&type=item&tracking_id=81b3f645-e53c-4053-99d7-37fca7207faa,58.9
Kia Sportage Fq,44799000,2015,145000,Laureles - Medellín,https://carro.mercadolibre.com.co/MCO-1562869175-kia-sportage-fq-2015-automatico-segundo-dueno-4x2-_JM#polycard_client=search-nordic&position=6&search_layout=grid&type=item&tracking_id=81b3f645-e53c-4053-99d7-37fca7207faa,39.8
Renault Koleos 2.5 Dynamique 4x4,41600000,2012,86245,Bello,https://carro.mercadolibre.com.co/MCO-1568172487-renault-koleos-25-dynamique-plus-4x4-_JM#polycard_client=search-nordic&position=14&search_layout=grid&type=item&tracking_id=26ea5e31-1826-4a79-9a44-ca9b5f22afc6,37.1
Nissan Pathfinder 3.5 R52 Exclusive,65000000,2015,109000,Las Palmas - Medellín,https://carro.mercadolibre.com.co/MCO-2865843422-nissan-pathfinder-35-r52-exclusive-_JM#polycard_client=search-nordic&position=38&search_layout=grid&type=item&tracking_id=c5081505-b365-4707-a071-316a6bed355b,30.5
Chevrolet Tracker 1.8 Lt,35000000,2013,69000,Santander - Medellín,https://carro.mercadolibre.com.co/MCO-1571828991-chevrolet-tracker-18-lt-_JM#polycard_client=search-nordic&position=35&search_layout=grid&type=item&tracking_id=26ea5e31-1826-4a79-9a44-ca9b5f22afc6,48.7
Jeep Renegade 1.8 Sport At,65000000,2020,43000,Castropol - Medellín,https://carro.mercadolibre.com.co/MCO-1574849459-jeep-renegade-18-sport-at-_JM#polycard_client=search-nordic&position=31&search_layout=grid&type=item&tracking_id=26ea5e31-1826-4a79-9a44-ca9b5f22afc6,62.1
Suzuki S-cross 1.6 Gl All Grip,50800000,2015,65500,Cristo Rey - Medellín,https://carro.mercadolibre.com.co/MCO-2865647484-suzuki-s-cross-16-gl-all-grip-_JM#polycard_client=search-nordic&position=3&search_layout=grid&type=item&tracking_id=26ea5e31-1826-4a79-9a44-ca9b5f22afc6,46.8
Ford Explorer 3.5 Limited Fl,64999999,2014,105000,El Poblado - Medellín,https://carro.mercadolibre.com.co/MCO-2848912240-ford-explorer-limited-35-2014-_JM#polycard_client=search-nordic&position=18&search_layout=grid&type=item&tracking_id=c5081505-b365-4707-a071-316a6bed355b,26.7
Ford Escape 2.0 Titanium Awd At,63490000,2017,70200,Aguacatala - Medellín,https://carro.mercadolibre.com.co/MCO-2865176576-ford-escape-20-titanium-awd-at-_JM#polycard_client=search-nordic&position=28&search_layout=grid&type=item&tracking_id=c5081505-b365-4707-a071-316a6bed355b,46.0
Jeep Renegade 1.8 Sport,60900000,2019,35807,El Poblado - Medellín,https://carro.mercadolibre.com.co/MCO-1560528851-jeep-renegade-18-sport-_JM#polycard_client=search-nordic&position=47&search_layout=grid&type=item&tracking_id=c5081505-b365-4707-a071-316a6bed355b,61.6
Ford Escape 2.0 Titanium 245 Hp,61000000,2017,73270,San Diego - Medellín,https://carro.mercadolibre.com.co/MCO-2863492222-ford-escape-20-titanium-245-hp-_JM#polycard_client=search-nordic&position=47&search_layout=grid&type=item&tracking_id=81b3f645-e53c-4053-99d7-37fca7207faa,47.3
Chevrolet Tracker 1.8 Ltz Awd At,55000000,2018,88628,Puerto Berrío,https://carro.mercadolibre.com.co/MCO-1576716963-chevrolet-tracker-18-ltz-awd-at-_JM#polycard_client=search-nordic&position=34&search_layout=grid&type=item&tracking_id=be3070fd-7b24-4244-ac88-5d8c262fc847,53.9
Chevrolet Tracker 1.8 Ls Automática,44900000,2017,86600,El Poblado - Medellín,https://carro.mercadolibre.com.co/MCO-1512473251-chevrolet-tracker-18-ls-automatica-_JM#polycard_client=search-nordic&position=23&search_layout=grid&type=item&tracking_id=c5081505-b365-4707-a071-316a6bed355b,56.9
Honda Cr-v 2.4 City Plus,52800000,2013,130000,Laureles - Medellín,https://carro.mercadolibre.com.co/MCO-1570701089-honda-cr-v-24-city-plus-_JM#polycard_client=search-nordic&position=21&search_layout=grid&type=item&tracking_id=9acaad1b-3980-4688-b3df-d393a4b50dde,27.3
